elapsedSec,fps,tracking,latency,heap
5.57,60,1,29.47,69.95
6.6,60,1,35.47,52.56
7.63,60,1,32.77,58.54
8.63,60,1,33.77,64.53
9.66,60,1,42.47,70.4
10.67,60,1,33.47,52.31
11.67,60,1,31.07,58.59
12.67,60,1,32.07,64.54
13.7,60,1,32.07,70.55
14.7,60,1,28.07,51.76
15.7,60,1,31.77,57.82
16.73,60,1,31.87,64.16
17.73,60,1,31.17,70.18
18.75,60,1,31.27,51.46
19.77,60,1,28.37,57.54
20.8,60,1,32.27,49.53
21.82,60,1,34.47,55.47
22.83,60,1,33.17,61.6
23.83,60,1,32.87,67.74
24.83,60,1,34.27,48.22
25.86,60,1,40.07,54.43
26.88,60,1,35.97,60.26
27.92,60,1,36.47,66.47
28.96,60,1,31.97,47.39
29.98,60,1,34.17,53.32
30.99,60,1,34.17,64.62
31.99,60,1,36.07,70.68
33.02,60,1,39.77,51.75
34.05,60,1,34.07,58.11
35.05,60,1,33.37,64.12
36.05,60,1,35.37,70.02
37.08,60,1,31.57,51.9
38.09,60,1,35.97,58.18
39.12,60,1,35.07,64.44
40.12,60,1,37.47,70.16
41.15,60,1,28.87,51.45
42.15,60,1,31.17,57.52
43.18,60,1,33.37,63.54
44.18,60,1,29.47,69.61
45.18,60,1,34.57,50.25
46.18,60,1,34.77,56.44
47.22,60,1,35.57,62.46
48.24,60,1,29.97,68.88
49.25,60,1,33.67,75.03
50.28,60,1,33.17,56.13
51.28,60,1,32.47,62.17
52.31,60,1,32.77,67.81
53.31,60,1,29.27,52.1
54.32,60,1,37.27,57.82
55.35,60,1,31.47,63.81
56.35,60,1,31.17,69.53
57.35,60,1,31.87,75.26
58.37,60,1,37.17,55.96
59.37,60,1,36.17,61.88
60.38,60,1,36.57,67.77
61.4,60,1,31.87,73.69
62.4,60,1,37.07,54.45
63.41,60,1,29.27,60.41
64.43,60,1,35.17,66.41
65.44,60,1,43.87,51.7
