elapsedSec,fps,tracking,latency,heap
5.7,60,1,29.87,40.05
6.7,60,1,35.07,42.31
7.7,60,1,34.97,41.96
8.73,60,1,47.67,41.98
9.73,60,1,30.27,40.85
10.76,60,1,32.17,40.94
11.76,60,1,31.57,43.35
12.76,60,1,31.97,43.4
13.79,60,1,29.67,42.64
14.8,60,1,31.67,42.75
15.8,60,1,34.77,47.8
16.8,60,1,32.57,46.79
17.84,60,1,35.97,46.51
18.87,60,1,31.67,45.13
19.89,60,1,30.77,44.95
20.9,60,1,31.87,43.45
21.9,60,1,28.27,48.25
22.93,60,1,36.97,46.75
23.96,60,1,33.17,46.63
24.96,60,1,32.57,46.01
25.96,60,1,34.37,46.09
27,60,1,32.47,42.64
28,60,1,31.27,42.17
29,60,1,33.37,47.07
30,60,1,31.77,46.28
31.01,60,1,32.57,45.51
32.03,60,1,33.67,44.83
33.03,60,1,34.87,44.78
34.05,60,1,32.97,43.69
35.05,60,1,33.37,43.77
36.05,60,1,33.77,42.73
37.05,60,1,39.37,42.48
38.08,60,1,31.57,47.66
39.08,60,1,32.27,47.55
40.08,60,1,32.27,46.56
41.11,60,1,33.37,46.66
42.11,60,1,33.67,46.38
43.11,60,1,33.57,46.06
44.11,60,1,28.17,44.9
45.12,60,1,32.37,43.96
46.15,60,1,31.37,49.52
47.15,60,1,30.67,49.46
48.18,60,1,31.77,49.49
49.18,60,1,34.87,48.44
50.18,60,1,32.77,48.59
51.21,60,1,32.27,47.17
52.21,60,1,28.27,47
53.24,60,1,30.97,45.75
54.25,60,1,31.07,51.08
55.25,60,1,31.77,50.73
56.25,60,1,31.17,49.49
57.25,60,1,31.27,49.46
58.25,60,1,32.27,48.11
59.28,60,1,30.57,47.9
60.28,60,1,31.07,42.66
61.28,60,1,31.57,47.68
62.28,60,1,30.27,52.69
63.28,60,1,32.87,45.17
64.32,60,1,39.47,49.95
65.34,60,1,29.97,43.19
