elapsedSec,fps,tracking,latency,heap
5.35,60,1,31.17,45.46
6.35,60,1,28.57,51.94
7.35,60,1,27.77,45.5
8.36,60,1,29.57,51.64
9.36,60,1,29.47,45.61
10.36,60,1,29.57,42.17
11.37,60,1,29.07,47.98
12.37,60,1,28.27,40.8
13.4,60,1,29.17,46.63
14.4,60,1,29.87,40.04
15.4,60,1,27.97,45.85
16.41,60,1,28.17,51.85
17.42,60,1,30.67,45.58
18.42,60,1,28.27,51.36
19.45,60,1,29.07,45.21
20.45,60,1,30.27,50.93
21.45,60,1,27.87,44.82
22.45,60,1,28.87,43.03
23.46,60,1,27.57,49.1
24.47,60,1,28.17,42.65
25.47,60,1,27.47,48.77
26.47,60,1,29.87,42.74
27.5,60,1,29.47,48.83
28.5,60,1,29.17,42.86
29.5,60,1,29.47,48.71
30.5,60,1,30.17,42.26
31.5,60,1,30.67,48.08
32.5,60,1,29.77,41.84
33.5,60,1,29.67,47.79
34.5,60,1,31.77,42.85
35.51,60,1,29.77,48.76
36.51,60,1,30.57,42.18
37.51,60,1,29.07,46.91
38.53,60,1,29.77,40.45
39.55,60,1,30.57,46.05
40.55,60,1,34.47,51.59
41.57,60,1,28.37,45.09
42.57,60,1,26.27,50.56
43.6,60,1,29.27,40.08
44.6,60,1,26.17,45.32
45.6,60,1,29.27,50.7
46.61,60,1,28.37,43.84
47.62,60,1,29.57,49.19
48.62,60,1,29.87,42.26
49.62,60,1,28.37,47.55
50.64,60,1,29.47,38.98
51.65,60,1,29.47,44.36
52.66,60,1,28.67,49.77
53.68,60,1,28.47,55.33
54.69,60,1,27.67,60.8
55.7,60,1,30.07,41.3
56.71,60,1,28.77,46.99
57.71,60,1,28.17,52.53
58.71,60,1,30.07,57.94
59.72,60,1,29.37,63.32
60.75,60,1,29.87,44.59
61.75,60,1,29.07,50.02
62.75,60,1,30.27,55.62
63.75,60,1,28.17,61.03
64.76,60,1,28.87,40.4
