elapsedSec,fps,tracking,latency,heap
5.32,60,1,28.77,34.86
6.32,60,1,28.67,37.91
7.32,60,1,28.77,38.93
8.33,60,1,27.67,40.15
9.33,60,1,26.97,45.86
10.33,60,1,29.47,34.14
11.33,60,1,25.87,34.63
12.34,60,1,28.27,34.48
13.35,60,1,29.37,42.08
14.35,60,1,27.37,43.77
15.37,60,1,28.17,43.21
16.37,60,1,27.87,45.44
17.37,60,1,29.27,39.79
18.37,60,1,28.87,38.98
19.38,60,1,28.07,33.41
20.4,60,1,28.17,41.74
21.41,60,1,27.47,48.85
22.41,60,1,29.57,54.5
23.42,60,1,28.97,35.12
24.42,60,1,29.57,40.41
25.43,60,1,28.07,57.9
26.45,60,1,27.77,44.17
27.45,60,1,28.27,40.37
28.47,60,1,26.57,47.4
29.47,60,1,30.37,52.24
30.48,60,1,28.27,57.01
31.48,60,1,25.47,45.96
32.5,60,1,28.17,37.75
33.52,60,1,30.07,44.92
34.53,60,1,26.47,50.09
35.53,60,1,28.57,43.73
36.55,60,1,29.47,50.81
37.57,60,1,27.47,38.39
38.58,60,1,28.97,48.51
39.58,60,1,26.77,50.14
40.6,60,1,28.27,39.35
41.6,60,1,30.27,46.46
42.61,60,1,28.37,55.51
43.61,60,1,29.07,35.44
44.61,60,1,27.87,49.63
45.62,60,1,27.47,47.25
46.62,60,1,25.87,49.31
47.63,60,1,28.17,57
48.65,60,1,28.17,41.7
49.65,60,1,28.17,46.83
50.65,60,1,28.67,58.76
51.65,60,1,28.47,37.36
52.66,60,1,29.07,42.36
53.67,60,1,28.37,49.27
54.67,60,1,28.67,46.68
55.69,60,1,27.47,51.47
56.7,60,1,29.07,40.85
57.7,60,1,29.37,54.01
58.7,60,1,28.57,40.05
59.71,60,1,27.17,46.45
60.72,60,1,28.37,51.27
61.72,60,1,26.77,38.51
62.73,60,1,26.87,48.77
63.73,60,1,28.87,49.23
64.74,60,1,27.27,58.52
