elapsedSec,fps,tracking,latency,heap
5.25,60,1,33.97,37.21
6.26,60,1,29.07,38.33
7.27,60,1,29.17,37.03
8.27,60,1,28.07,36.52
9.29,60,1,27.87,38.08
10.31,60,1,28.57,37.9
11.32,60,1,28.67,39.23
12.32,60,1,28.47,38.71
13.34,60,1,27.97,39.89
14.34,60,1,27.97,37.95
15.34,60,1,28.37,39.39
16.34,60,1,28.87,40.23
17.36,60,1,28.27,36.54
18.38,60,1,28.07,37.51
19.38,60,1,29.47,38.23
20.39,60,1,28.07,39.96
21.39,60,1,27.47,41.37
22.4,60,1,27.67,42.61
23.4,60,1,28.97,38.03
24.41,60,1,29.87,39.58
25.41,60,1,30.47,40.4
26.42,60,1,28.37,42.29
27.44,60,1,27.77,44.32
28.44,60,1,27.97,39.29
29.44,60,1,29.17,40.53
30.44,60,1,29.27,36.86
31.44,60,1,29.87,40.3
32.46,60,1,27.57,42.06
33.47,60,1,27.97,43.32
34.49,60,1,27.97,44.08
35.49,60,1,30.17,39.55
36.5,60,1,29.07,37.72
37.5,60,1,30.57,45.52
38.5,60,1,26.57,41.79
39.51,60,1,29.47,49.33
40.52,60,1,27.97,44.88
41.52,60,1,30.07,40.19
42.54,60,1,29.27,47.8
43.54,60,1,29.47,43.02
44.54,60,1,29.47,49.83
45.54,60,1,27.87,45.72
46.54,60,1,28.67,40.1
47.55,60,1,27.37,48.18
48.56,60,1,30.27,43.38
49.56,60,1,27.17,40.01
50.56,60,1,26.27,47.74
51.57,60,1,28.47,43.63
52.59,60,1,28.07,51.62
53.59,60,1,30.37,39.07
54.59,60,1,29.57,46.52
55.61,60,1,27.77,41.58
56.62,60,1,30.07,49.37
57.62,60,1,30.37,43.16
58.64,60,1,28.57,37.96
59.64,60,1,28.77,45.07
60.65,60,1,29.17,39.67
61.66,60,1,28.97,47.99
62.67,60,1,29.27,41.74
63.67,60,1,27.47,47.13
64.69,60,1,29.57,42.05
