elapsedSec,fps,tracking,latency,heap
7.6,60,1,30.97,39.26
8.63,60,1,35.77,42.18
9.64,60,1,35.87,41.63
10.67,60,1,29.07,41.45
11.68,60,1,33.47,41.2
12.69,60,1,48.07,40.69
13.71,60,1,36.57,40.44
14.73,60,1,31.57,40.14
15.73,60,1,40.67,45.73
16.74,60,1,36.07,38.45
17.78,60,1,34.97,38.46
18.8,60,1,35.57,38.45
19.83,60,1,40.67,37.97
20.84,60,1,35.77,43.86
21.88,60,1,31.17,43.76
22.93,60,1,32.27,43.43
23.93,60,1,41.87,42.83
24.94,60,1,34.07,42.54
25.94,60,1,34.57,42.13
26.94,60,1,35.57,41.71
27.96,60,1,36.87,41.28
28.99,60,1,35.77,40.65
30.01,60,1,31.87,40.34
31.01,60,1,33.87,45.93
32.03,60,1,32.37,45.04
33.03,60,1,30.87,42.58
34.04,60,1,33.47,41.89
35.05,60,1,41.57,47.65
36.08,60,1,32.37,47.12
37.09,60,1,42.07,46.84
38.13,60,1,34.17,46.51
39.14,60,1,34.97,46.09
40.16,60,1,35.57,45.86
41.16,60,1,35.17,45.54
42.17,60,1,35.17,42.86
43.18,60,1,47.17,41.89
44.22,60,1,42.17,41.58
45.22,60,1,34.87,41.16
46.26,60,1,35.17,40.6
47.27,60,1,36.37,40.31
48.3,60,1,37.47,39.74
49.31,60,1,35.47,39.52
50.32,60,1,41.07,45.12
51.32,60,1,34.07,44.82
52.33,60,1,42.17,41.21
53.34,60,1,31.87,46.22
54.34,60,1,34.77,41.5
55.34,60,1,34.27,47.1
56.36,60,1,30.77,40.45
57.36,60,1,34.77,46.01
58.38,60,1,32.67,39.45
59.42,60,1,41.67,45.13
60.43,60,1,41.77,50.81
61.43,60,1,41.67,43.92
62.44,60,1,35.27,49.62
63.48,60,1,34.47,42.75
64.51,60,1,35.27,48.25
65.54,60,1,46.77,41.46
66.56,60,1,35.07,47.06
