elapsedSec,fps,tracking,latency,heap
6.55,60,1,27.87,31.91
7.55,60,1,40.97,32.69
8.57,60,1,25.57,34.2
9.6,60,1,39.27,32.33
10.63,60,1,41.07,33.59
11.65,60,1,39.27,34.89
12.65,60,1,41.17,32.58
13.68,60,1,36.87,33.68
14.72,60,1,31.37,34.72
15.73,60,1,40.37,32.57
16.75,60,1,39.27,33.55
17.75,60,1,41.27,32.95
18.76,60,1,38.37,33.6
19.8,60,1,42.27,34.47
20.81,60,1,39.27,32.06
21.82,60,1,42.97,32.72
22.85,60,1,41.67,33.25
23.86,60,1,39.67,33.71
24.86,60,1,41.57,34.3
25.88,60,1,42.87,31.98
26.88,60,1,41.67,32.59
27.89,60,1,41.37,33.13
28.9,60,1,40.37,33.59
29.91,60,1,34.77,34.42
30.91,60,1,40.87,35.1
31.92,60,1,39.97,32.93
32.95,60,1,25.27,31.61
33.98,60,1,38.77,35.17
35.02,60,1,42.57,32.76
36.05,60,1,41.67,36.5
37.06,60,1,41.47,34.02
38.06,60,1,41.87,32.61
39.07,60,1,40.27,36.55
40.07,60,1,40.67,34.32
41.11,60,1,39.57,38.16
42.12,60,1,31.87,35.89
43.13,60,1,25.47,33.52
44.14,60,1,41.07,37.41
45.14,60,1,39.67,34.83
46.14,60,1,41.67,38.65
47.18,60,1,42.47,36.47
48.2,60,1,41.77,33.95
49.21,60,1,39.17,34.58
50.21,60,1,42.47,38.03
51.21,60,1,42.37,35.36
52.22,60,1,41.67,32.67
53.24,60,1,38.87,36.04
54.28,60,1,41.17,33.45
55.28,60,1,41.17,37
56.3,60,1,39.87,34.43
57.3,60,1,40.27,37.96
58.3,60,1,40.17,35.1
59.31,60,1,41.27,38.58
60.31,60,1,25.67,35.76
61.32,60,1,25.57,33.33
62.32,60,1,39.77,36.61
63.34,60,1,25.57,34.36
64.35,60,1,39.27,37.82
65.35,60,1,41.17,35.05
66.36,60,1,38.77,34.75
