elapsedSec,fps,tracking,latency,heap
7.04,60,1,70.27,57.09
8.04,60,1,40.17,57.67
9.04,60,1,43.97,56.93
10.05,60,1,40.87,61.37
11.07,60,1,28.47,62.48
12.07,60,1,40.07,56.83
13.09,60,1,41.07,60.8
14.09,60,1,40.67,58.96
15.1,60,1,40.17,65.72
16.14,60,1,40.97,61.01
17.15,60,1,38.47,70.77
18.15,60,1,31.37,66.33
19.15,60,1,28.97,74.23
20.17,60,1,40.77,74.29
21.19,60,1,39.97,67.48
22.22,60,1,27.77,73.57
23.23,60,1,41.37,77.4
24.24,60,1,40.37,56.79
25.27,60,1,38.07,73.5
26.29,60,1,28.87,65.77
27.32,60,1,40.67,77.28
28.37,60,1,52.37,63.1
29.41,60,1,40.27,68.1
30.42,60,1,45.77,78.22
31.46,60,1,41.07,64.21
32.49,60,1,41.37,68.78
33.5,60,1,46.97,78.97
34.51,60,1,27.87,67.05
35.51,60,1,48.27,73.92
36.55,60,1,50.17,83.89
37.56,60,1,31.07,69.71
38.57,60,1,42.27,73.68
39.57,60,1,40.07,56.06
40.62,60,1,52.57,57.74
41.63,60,1,35.77,57.48
42.63,60,1,50.97,57.65
43.65,60,1,31.37,59.99
44.68,60,1,51.67,59.9
45.7,60,1,27.97,61.64
46.7,60,1,34.27,55.88
47.72,60,1,40.67,59.88
48.73,60,1,41.57,57.77
49.74,60,1,40.77,67.1
50.77,60,1,40.87,65.75
51.78,60,1,41.67,68.09
52.8,60,1,26.67,65.68
53.82,60,1,48.97,62.05
54.82,60,1,39.37,73.82
55.82,60,1,40.27,69.86
56.83,60,1,31.77,64.32
57.83,60,1,41.27,74.08
58.84,60,1,32.67,60.62
59.87,60,1,50.47,68.75
60.88,60,1,36.27,72.3
61.92,60,1,50.57,63.84
62.95,60,1,42.57,79.76
63.95,60,1,40.37,63.5
64.99,60,1,43.17,69.33
66.03,60,1,49.77,63.09
