elapsedSec,fps,tracking,latency,heap
6.61,60,1,30.27,37.6
7.61,60,1,40.67,35.68
8.62,60,1,42.37,37.51
9.65,60,1,32.97,36.87
10.7,60,1,34.07,38.81
11.71,60,1,32.07,38.51
12.71,60,1,47.77,37.47
13.76,60,1,38.87,39.8
14.77,60,1,40.87,38.97
15.8,60,1,41.07,39.36
16.81,60,1,39.37,39.16
17.85,60,1,41.37,38.84
18.86,60,1,39.37,38.94
19.93,60,1,32.77,37.89
20.96,60,1,44.27,37.33
21.97,60,1,40.97,36.39
22.98,60,1,41.57,41.18
23.98,60,1,30.97,40.05
24.99,60,1,41.87,38.49
26.03,60,1,32.97,38.32
27.04,60,1,41.07,43.41
28.05,60,1,41.57,42.89
29.08,60,1,31.17,41.34
30.1,60,1,42.97,40.27
31.1,60,1,42.07,38.78
32.11,60,1,40.47,38.92
33.14,60,1,31.77,43.75
34.14,60,1,41.97,43.46
35.15,60,1,27.17,41.44
36.16,60,1,40.87,41.36
37.19,60,1,41.97,39.65
38.22,60,1,42.47,44.99
39.22,60,1,42.77,43.96
40.26,60,1,31.77,38.34
41.27,60,1,42.77,37.54
42.28,60,1,41.37,42.15
43.33,60,1,31.17,41.55
44.34,60,1,42.97,40.26
45.37,60,1,41.17,40.13
46.4,60,1,39.97,39.63
47.45,60,1,40.27,38.69
48.45,60,1,41.47,38.44
49.47,60,1,35.17,43.75
50.48,60,1,37.67,42.29
51.48,60,1,41.47,41.38
52.49,60,1,41.37,40.32
53.49,60,1,43.37,38.62
54.53,60,1,30.87,43.36
55.54,60,1,31.87,41.92
56.55,60,1,40.37,41.01
57.56,60,1,35.47,39.88
58.63,60,1,32.47,44.84
59.63,60,1,33.27,44.46
60.65,60,1,40.57,43.03
61.65,60,1,41.37,41.67
62.67,60,1,41.67,40.76
63.73,60,1,33.67,40.41
64.74,60,1,39.27,45.74
65.75,60,1,31.87,38.71
